enonce,type,reponse,explication,difficulte,points,tempsLimite,categorie,choixA,choixB,choixC,choixD,mediaFile,audioFile,videoFile,videoUrl,videoDebut,videoFin
Quel est le titre de ce morceau ?,AUDIO,1er Gaou,« 1er Gaou » de Magic System. Tube zouglou planétaire (1999).,FACILE,100,30,Musique,Tu es mon ami,1er Gaou,Françafrique,Awoulaba,,audio/magic-system-1er-gaou.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Magic System,« 1er Gaou » de Magic System. Tube zouglou planétaire (1999).,FACILE,100,30,Musique,Safarel Obiang,Magic System,Oumou Sangaré,Serge Beynaud,,audio/magic-system-1er-gaou.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Jonathan,« Jonathan » de DJ Arafat. Titre culte du Daishikan.,MOYEN,150,30,Musique,Dégaine,Jonathan,Bouger Bouger,Brigadier Sabari,,audio/dj-arafat-jonathan.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,DJ Arafat,« Jonathan » de DJ Arafat. Titre culte du Daishikan.,MOYEN,150,30,Musique,Aïcha Koné,DJ Arafat,Espoir 2000,Molare,,audio/dj-arafat-jonathan.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Kpangor,« Kpangor » de DJ Arafat. Danse et tube du coupé-décalé.,MOYEN,150,30,Musique,Amena,Fall,Année blanche,Kpangor,,audio/dj-arafat-kpangor.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,DJ Arafat,« Kpangor » de DJ Arafat. Danse et tube du coupé-décalé.,MOYEN,150,30,Musique,Sidiki Diabaté,Monique Séka,DJ Arafat,Petit Denis,,audio/dj-arafat-kpangor.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Brigadier Sabari,« Brigadier Sabari » de Alpha Blondy. Classique du reggae ivoirien.,MOYEN,150,30,Musique,Brigadier Sabari,Kpangor,Last Last,Brindolê,,audio/alpha-blondy-brigadier-sabari.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Alpha Blondy,« Brigadier Sabari » de Alpha Blondy. Classique du reggae ivoirien.,MOYEN,150,30,Musique,Toofan,Alpha Blondy,Davido,Vetcho Lolas,,audio/alpha-blondy-brigadier-sabari.mp3,,,,
Quel est le titre de ce morceau ?,AUDIO,Cocody Rock,« Cocody Rock » de Alpha Blondy. Reggae emblématique.,MOYEN,150,30,Musique,Cocody Rock,Miss Lolo,Espérance,Amena,,audio/alpha-blondy-cocody-rock.mp3,,,,
Quel artiste interprète ce morceau ?,AUDIO,Alpha Blondy,« Cocody Rock » de Alpha Blondy. Reggae emblématique.,MOYEN,150,30,Musique,DJ Arafat,Alpha Blondy,Koffi Olomidé,Petit Denis,,audio/alpha-blondy-cocody-rock.mp3,,,,
